rank,appid,last_week_rank,peak_in_game,name
1,730,1,1493609,
2,570,2,787541,
3,578080,3,535513,
4,431960,4,116436,
5,1808500,5,242762,
6,105600,6,121956,
7,553850,9,128047,
8,1172470,7,191159,
9,2357570,19,113506,
10,2767030,8,133484,
11,322170,10,89228,
12,2676230,11,143643,
13,236390,12,83523,
14,1422450,14,104978,
15,252490,13,195988,
16,381210,15,79544,
17,271590,18,106998,
18,413150,16,86497,
19,3240220,17,81079,
20,2807960,20,61513,
21,686060,-1,89765,
22,2507950,24,152685,
23,359550,21,66298,
24,230410,22,65759,
25,1203220,23,78680,
26,1281930,32,65340,
27,440,28,62327,
28,3405690,25,63472,
29,3241660,26,39402,
30,227300,33,48643,
31,1973530,29,38435,
32,1449850,30,32901,
33,1086940,31,63179,
34,322330,46,47100,
35,1174180,27,42732,
36,438100,36,53295,
37,550,35,29258,
38,1938090,34,47346,
39,284160,37,31073,
40,394360,39,48519,
41,252950,42,34530,
42,4025700,41,49263,
43,250900,43,24863,
44,3564740,38,50917,
45,1222670,45,36733,
46,4356080,-1,20936,
47,377160,40,40326,
48,1245620,47,32845,
49,1091500,49,30092,
50,646570,44,25669,
51,4000,52,29695,
52,289070,57,42123,
53,108600,55,32882,
54,2622380,50,50073,
55,1364780,60,33686,
56,3681010,59,58326,
57,1366800,56,47322,
58,1551360,53,19400,
59,3527290,54,19146,
60,3419430,48,156431,
61,3513350,51,16583,
62,244210,65,16877,
63,489830,61,28382,
64,3472040,70,28614,
65,221100,66,58012,
66,1905180,64,26382,
67,291550,63,14450,
68,1623730,62,41126,
69,1665460,75,18966,
70,2246340,83,25690,
71,714010,74,6131,
72,739630,69,17987,
73,275850,171,24016,
74,251570,68,29980,
75,2073620,80,30227,
76,1142710,78,27982,
77,2379780,77,11735,
78,960090,88,11853,
79,2300320,79,38224,
80,892970,72,32078,
81,1426210,107,26282,
82,594650,85,27345,
83,2073850,81,16398,
84,294100,92,32447,
85,3551340,89,44921,
86,813780,87,23536,
87,2358720,130,24440,
88,629520,90,19777,
89,261550,91,26674,
90,1151340,73,22441,
91,1771300,82,24277,
92,548430,71,15646,
93,3224770,67,11316,
94,22380,76,17987,
95,292030,97,18602,
96,3164500,93,20285,
97,2694490,84,25207,
98,945360,95,12657,
99,1030300,94,13173,
100,2050650,103,12921,
1,730,1,1493609,
2,570,2,787541,
3,578080,3,535513,
4,431960,4,116436,
5,1808500,5,242762,
6,105600,6,121956,
7,553850,9,128047,
8,1172470,7,191159,
9,2357570,19,113506,
10,2767030,8,133484,
11,322170,10,89228,
12,2676230,11,143643,
13,236390,12,83523,
14,1422450,14,104978,
15,252490,13,195988,
16,381210,15,79544,
17,271590,18,106998,
18,413150,16,86497,
19,3240220,17,81079,
20,2807960,20,61513,
21,686060,-1,89765,
22,2507950,24,152685,
23,359550,21,66298,
24,230410,22,65759,
25,1203220,23,78680,
26,1281930,32,65340,
27,440,28,62327,
28,3405690,25,63472,
29,3241660,26,39402,
30,227300,33,48643,
31,1973530,29,38435,
32,1449850,30,32901,
33,1086940,31,63179,
34,322330,46,47100,
35,1174180,27,42732,
36,438100,36,53295,
37,550,35,29258,
38,1938090,34,47346,
39,284160,37,31073,
40,394360,39,48519,
41,252950,42,34530,
42,4025700,41,49263,
43,250900,43,24863,
44,3564740,38,50917,
45,1222670,45,36733,
46,4356080,-1,20936,
47,377160,40,40326,
48,1245620,47,32845,
49,1091500,49,30092,
50,646570,44,25669,
51,4000,52,29695,
52,289070,57,42123,
53,108600,55,32882,
54,2622380,50,50073,
55,1364780,60,33686,
56,3681010,59,58326,
57,1366800,56,47322,
58,1551360,53,19400,
59,3527290,54,19146,
60,3419430,48,156431,
61,3513350,51,16583,
62,244210,65,16877,
63,489830,61,28382,
64,3472040,70,28614,
65,221100,66,58012,
66,1905180,64,26382,
67,291550,63,14450,
68,1623730,62,41126,
69,1665460,75,18966,
70,2246340,83,25690,
71,714010,74,6131,
72,739630,69,17987,
73,275850,171,24016,
74,251570,68,29980,
75,2073620,80,30227,
76,1142710,78,27982,
77,2379780,77,11735,
78,960090,88,11853,
79,2300320,79,38224,
80,892970,72,32078,
81,1426210,107,26282,
82,594650,85,27345,
83,2073850,81,16398,
84,294100,92,32447,
85,3551340,89,44921,
86,813780,87,23536,
87,2358720,130,24440,
88,629520,90,19777,
89,261550,91,26674,
90,1151340,73,22441,
91,1771300,82,24277,
92,548430,71,15646,
93,3224770,67,11316,
94,22380,76,17987,
95,292030,97,18602,
96,3164500,93,20285,
97,2694490,84,25207,
98,945360,95,12657,
99,1030300,94,13173,
100,2050650,103,12921,
1,730,1,1493609,
2,570,2,787541,
3,578080,3,535513,
4,431960,4,116436,
5,1808500,5,242762,
6,105600,6,121956,
7,553850,9,128047,
8,1172470,7,191159,
9,2357570,19,113506,
10,2767030,8,133484,
11,322170,10,89228,
12,2676230,11,143643,
13,236390,12,83523,
14,1422450,14,104978,
15,252490,13,195988,
16,381210,15,79544,
17,271590,18,106998,
18,413150,16,86497,
19,3240220,17,81079,
20,2807960,20,61513,
21,686060,-1,89765,
22,2507950,24,152685,
23,359550,21,66298,
24,230410,22,65759,
25,1203220,23,78680,
26,1281930,32,65340,
27,440,28,62327,
28,3405690,25,63472,
29,3241660,26,39402,
30,227300,33,48643,
31,1973530,29,38435,
32,1449850,30,32901,
33,1086940,31,63179,
34,322330,46,47100,
35,1174180,27,42732,
36,438100,36,53295,
37,550,35,29258,
38,1938090,34,47346,
39,284160,37,31073,
40,394360,39,48519,
41,252950,42,34530,
42,4025700,41,49263,
43,250900,43,24863,
44,3564740,38,50917,
45,1222670,45,36733,
46,4356080,-1,20936,
47,377160,40,40326,
48,1245620,47,32845,
49,1091500,49,30092,
50,646570,44,25669,
51,4000,52,29695,
52,289070,57,42123,
53,108600,55,32882,
54,2622380,50,50073,
55,1364780,60,33686,
56,3681010,59,58326,
57,1366800,56,47322,
58,1551360,53,19400,
59,3527290,54,19146,
60,3419430,48,156431,
61,3513350,51,16583,
62,244210,65,16877,
63,489830,61,28382,
64,3472040,70,28614,
65,221100,66,58012,
66,1905180,64,26382,
67,291550,63,14450,
68,1623730,62,41126,
69,1665460,75,18966,
70,2246340,83,25690,
71,714010,74,6131,
72,739630,69,17987,
73,275850,171,24016,
74,251570,68,29980,
75,2073620,80,30227,
76,1142710,78,27982,
77,2379780,77,11735,
78,960090,88,11853,
79,2300320,79,38224,
80,892970,72,32078,
81,1426210,107,26282,
82,594650,85,27345,
83,2073850,81,16398,
84,294100,92,32447,
85,3551340,89,44921,
86,813780,87,23536,
87,2358720,130,24440,
88,629520,90,19777,
89,261550,91,26674,
90,1151340,73,22441,
91,1771300,82,24277,
92,548430,71,15646,
93,3224770,67,11316,
94,22380,76,17987,
95,292030,97,18602,
96,3164500,93,20285,
97,2694490,84,25207,
98,945360,95,12657,
99,1030300,94,13173,
100,2050650,103,12921,
